rawName,canonicalName,source,confidenceScore,method,timestamp
DoorDash,DoorDash,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:52.987834+00:00
Airbnb,Airbnb,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:52.992667+00:00
Coinbase,Coinbase,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:52.996719+00:00
Groww,Groww,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:52.999742+00:00
Instacart,Instacart,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.003793+00:00
Meesho,Meesho,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.008644+00:00
GitLab,GitLab,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.012123+00:00
Oklo,Oklo,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.015004+00:00
Rigetti Computing,Rigetti Computing,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.020520+00:00
Dropbox,Dropbox,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.025853+00:00
BillionToOne,BillionToOne,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.030407+00:00
EquipmentShare,EquipmentShare,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.035679+00:00
Matterport,Matterport,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.042185+00:00
Amplitude,Amplitude,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.046572+00:00
PagerDuty,PagerDuty,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.050573+00:00
Weave,Weave,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.053963+00:00
Ginkgo Bioworks,Ginkgo Bioworks,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.060361+00:00
Pardes Biosciences,Pardes Biosciences,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.066577+00:00
Momentus,Momentus,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.070445+00:00
Embark Trucks,Embark Trucks,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.078088+00:00
Lucira Health,Lucira Health,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.082926+00:00
Segment,Segment,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.086802+00:00
Algolia,Algolia,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.092982+00:00
Truebill,Truebill,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.097087+00:00
Twitch,Twitch,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.100517+00:00
PlanGrid,PlanGrid,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.105802+00:00
Bellabeat,Bellabeat,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.110484+00:00
Cruise,Cruise,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.113941+00:00
Benchling,Benchling,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.117829+00:00
Casetext,Casetext,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.123803+00:00
