schemaVersion,recordType,source.name,source.url,content.title,content.published_date,content.summary,content.full_text,collectedAt
1.0,NEWS,Hacker News AI,https://news.ycombinator.com/item?id=49643743,Ask HN: What fun and interesting project(s) are you working on?,2026-09-10T13:52:34+00:00,Hacker News AI signal with 1 points and 0 comments.,Ask HN: What fun and interesting project(s) are you working on?,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://waiting.club,Show HN: I built a place to hang out while waiting for your AI to respond,2026-09-10T13:49:27+00:00,Hacker News AI signal with 1 points and 0 comments.,Show HN: I built a place to hang out while waiting for your AI to respond,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://myday24.com/blog/how-i-build-garmin-watch-faces-with-ai-agents/,I build Garmin watch faces with AI agents,2026-09-10T13:42:57+00:00,Hacker News AI signal with 1 points and 0 comments.,I build Garmin watch faces with AI agents,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://www.theguardian.com/commentisfree/2026/sep/10/ai-control-sci-fi,Opinion: We have started losing control of AI. It's time to shut it down,2026-09-10T13:40:37+00:00,Hacker News AI signal with 2 points and 1 comments.,Opinion: We have started losing control of AI. It's time to shut it down,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://grafista.io/,Grafista: Graphic design platform fighting AI slop,2026-09-10T13:35:31+00:00,Hacker News AI signal with 1 points and 0 comments.,Grafista: Graphic design platform fighting AI slop,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://gizmodo.com/ai-doomlord-jacob-coxons-media-tour-has-begun-2000809720,AI Doomlord Jacob Coxon's Media Tour Has Begun,2026-09-10T13:21:50+00:00,Hacker News AI signal with 12 points and 6 comments.,AI Doomlord Jacob Coxon's Media Tour Has Begun,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://a11.to/blog/claudisms,Guiding AI writing to make technical text easier to review,2026-09-10T13:18:36+00:00,Hacker News AI signal with 1 points and 2 comments.,Guiding AI writing to make technical text easier to review,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://app.geosurge.ai/login,Show HN: AI Brand Visibility for Free Forever,2026-09-10T13:16:59+00:00,Hacker News AI signal with 3 points and 8 comments.,Show HN: AI Brand Visibility for Free Forever,2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://www.youtube.com/watch?v=jXzpwdtwVyk,"Brax 2026 Roadmap: secure mobile phone, smart wall display, pocket AI phone",2026-09-10T13:15:37+00:00,Hacker News AI signal with 1 points and 0 comments.,"Brax 2026 Roadmap: secure mobile phone, smart wall display, pocket AI phone",2026-09-10T13:59:17.576423+00:00
1.0,NEWS,Hacker News AI,https://www.promptone.ai/blog/agent-should-never-choose-its-own-tools/,Never let your agent choose its own tool,2026-09-10T13:12:58+00:00,Hacker News AI signal with 2 points and 1 comments.,Never let your agent choose its own tool,2026-09-10T13:59:17.576423+00:00
