schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/tabbit-browser-8fc158da,Tabbit,FREEMIUM,2026-09-10T13:59:11.209910+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/crayon-ai-b7c53263,Crayon,PAID,2026-09-10T13:59:11.213448+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/skymel-4821b4aa,Skymel,FREEMIUM,2026-09-10T13:59:11.216772+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/inficy-ecd0c297,Inficy,FREEMIUM,2026-09-10T13:59:11.220020+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/demopolish-8188b308,Demopolish,FREEMIUM,2026-09-10T13:59:11.226031+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/kribana-2a2ade0d,Kribana,FREE,2026-09-10T13:59:11.229980+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/lightfield-83489ff2,Lightfield,FREEMIUM,2026-09-10T13:59:11.234087+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/moda-1e67aad5,Moda,FREEMIUM,2026-09-10T13:59:11.237370+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/dial-18ac12e1,Dial,ENTERPRISE,2026-09-10T13:59:11.242049+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/monid-e9f9372d,Monid,ENTERPRISE,2026-09-10T13:59:11.245691+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/axonsheet-1aaa0312,Axonsheet,ENTERPRISE,2026-09-10T13:59:11.249741+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/trustedrouter-8b7deac7,Trustedrouter,FREEMIUM,2026-09-10T13:59:11.254967+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/hack-my-website-55c7a623,Hack,FREEMIUM,2026-09-10T13:59:11.259020+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/tonecraft-vo-6d056bd4,Tonecraft,ENTERPRISE,2026-09-10T13:59:11.263413+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/libra-9892741c,Libra,FREEMIUM,2026-09-10T13:59:11.266908+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/helpmyagent-91625049,Helpmyagent,FREEMIUM,2026-09-10T13:59:11.273172+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/n8n-chat-ui-bf2830a8,N8N,FREEMIUM,2026-09-10T13:59:11.276852+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/cinlink-9bc505ac,Cinlink,PAID,2026-09-10T13:59:11.280453+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/miligram-37289029,Miligram,ENTERPRISE,2026-09-10T13:59:11.284277+00:00
1.0,PRODUCT,FutureTools,https://futuretools.io/tools/zoah-8e9c9b6f,Zoah,PAID,2026-09-10T13:59:11.288548+00:00
